[s],CH1[V]
-2.9998E-03,-2.217E-02
-2.9988E-03,-2.217E-02
-2.9978E-03,-2.217E-02
-2.9968E-03,-2.217E-02
-2.9958E-03,-2.217E-02
-2.9948E-03,-2.217E-02
-2.9938E-03,-2.217E-02
-2.9928E-03,-2.217E-02
-2.9917E-03,-2.217E-02
-2.9907E-03,-2.217E-02
-2.9897E-03,1.783E-02
-2.9887E-03,-2.217E-02
-2.9877E-03,-2.217E-02
-2.9867E-03,-2.217E-02
-2.9857E-03,-2.217E-02
-2.9847E-03,-2.217E-02
-2.9837E-03,-2.217E-02
-2.9827E-03,-2.217E-02
-2.9817E-03,-2.217E-02
-2.9807E-03,-2.217E-02
-2.9796E-03,-2.217E-02
-2.9786E-03,-2.217E-02
-2.9776E-03,-2.217E-02
-2.9766E-03,1.783E-02
-2.9756E-03,-2.217E-02
-2.9746E-03,-2.217E-02
-2.9736E-03,-2.217E-02
-2.9726E-03,-2.217E-02
-2.9716E-03,-2.217E-02
-2.9706E-03,-6.217E-02
-2.9696E-03,-2.217E-02
-2.9686E-03,-2.217E-02
-2.9676E-03,-2.217E-02
-2.9665E-03,-2.217E-02
-2.9655E-03,-2.217E-02
-2.9645E-03,-2.217E-02
-2.9635E-03,-2.217E-02
-2.9625E-03,-2.217E-02
-2.9615E-03,-2.217E-02
-2.9605E-03,-2.217E-02
-2.9595E-03,-2.217E-02
-2.9585E-03,-2.217E-02
-2.9575E-03,-2.217E-02
-2.9565E-03,-2.217E-02
-2.9555E-03,-2.217E-02
-2.9544E-03,-2.217E-02
-2.9534E-03,-2.217E-02
-2.9524E-03,-2.217E-02
-2.9514E-03,-2.217E-02
-2.9504E-03,-2.217E-02
-2.9494E-03,-2.217E-02
-2.9484E-03,-2.217E-02
-2.9474E-03,-2.217E-02
-2.9464E-03,-6.217E-02
-2.9454E-03,-2.217E-02
-2.9444E-03,-2.217E-02
-2.9434E-03,-2.217E-02
-2.9424E-03,-2.217E-02
-2.9413E-03,-2.217E-02
-2.9403E-03,-2.217E-02
-2.9393E-03,-2.217E-02
-2.9383E-03,-2.217E-02
-2.9373E-03,-2.217E-02
-2.9363E-03,-2.217E-02
-2.9353E-03,-2.217E-02
-2.9343E-03,-2.217E-02
-2.9333E-03,-2.217E-02
-2.9323E-03,-2.217E-02
-2.9313E-03,-2.217E-02
-2.9303E-03,-2.217E-02
-2.9292E-03,-2.217E-02
-2.9282E-03,-2.217E-02
-2.9272E-03,-2.217E-02
-2.9262E-03,-2.217E-02
-2.9252E-03,-2.217E-02
-2.9242E-03,-2.217E-02
-2.9232E-03,-2.217E-02
-2.9222E-03,-2.217E-02
-2.9212E-03,-2.217E-02
-2.9202E-03,-2.217E-02
-2.9192E-03,-2.217E-02
-2.9182E-03,-2.217E-02
-2.9172E-03,-2.217E-02
-2.9161E-03,-2.217E-02
-2.9151E-03,-2.217E-02
-2.9141E-03,-2.217E-02
-2.9131E-03,-6.217E-02
-2.9121E-03,-2.217E-02
-2.9111E-03,-2.217E-02
-2.9101E-03,-2.217E-02
-2.9091E-03,-2.217E-02
-2.9081E-03,-2.217E-02
-2.9071E-03,-2.217E-02
-2.9061E-03,-2.217E-02
-2.9051E-03,-6.217E-02
-2.9040E-03,-6.217E-02
-2.9030E-03,-2.217E-02
-2.9020E-03,-6.217E-02
-2.9010E-03,-2.217E-02
-2.9000E-03,-2.217E-02
-2.8990E-03,-6.217E-02
-2.8980E-03,-2.217E-02
-2.8970E-03,-2.217E-02
-2.8960E-03,-2.217E-02
-2.8950E-03,-6.217E-02
-2.8940E-03,-2.217E-02
-2.8930E-03,-2.217E-02
-2.8920E-03,-2.217E-02
-2.8909E-03,-2.217E-02
-2.8899E-03,-2.217E-02
-2.8889E-03,-2.217E-02
-2.8879E-03,-2.217E-02
-2.8869E-03,-2.217E-02
-2.8859E-03,-2.217E-02
