[s],CH1[V]
-1.2000E-03,-2.217E-02
-1.1996E-03,-2.217E-02
-1.1992E-03,-2.217E-02
-1.1988E-03,-2.217E-02
-1.1984E-03,-2.217E-02
-1.1980E-03,-2.217E-02
-1.1976E-03,-2.217E-02
-1.1972E-03,-2.217E-02
-1.1968E-03,-2.217E-02
-1.1964E-03,-2.217E-02
-1.1960E-03,-2.217E-02
-1.1956E-03,-2.217E-02
-1.1952E-03,-2.217E-02
-1.1948E-03,-2.217E-02
-1.1944E-03,-2.217E-02
-1.1940E-03,-2.217E-02
-1.1936E-03,-2.217E-02
-1.1932E-03,-2.217E-02
-1.1928E-03,-2.217E-02
-1.1924E-03,-6.217E-02
-1.1920E-03,-2.217E-02
-1.1916E-03,-6.217E-02
-1.1912E-03,-2.217E-02
-1.1908E-03,-2.217E-02
-1.1904E-03,-2.217E-02
-1.1900E-03,-6.217E-02
-1.1896E-03,-2.217E-02
-1.1892E-03,-2.217E-02
-1.1888E-03,-2.217E-02
-1.1884E-03,-2.217E-02
-1.1880E-03,-2.217E-02
-1.1876E-03,-2.217E-02
-1.1872E-03,-2.217E-02
-1.1868E-03,-2.217E-02
-1.1864E-03,-2.217E-02
-1.1860E-03,-6.217E-02
-1.1856E-03,-6.217E-02
-1.1852E-03,-2.217E-02
-1.1848E-03,-6.217E-02
-1.1844E-03,-2.217E-02
-1.1840E-03,-2.217E-02
-1.1836E-03,-2.217E-02
-1.1832E-03,-2.217E-02
-1.1828E-03,-2.217E-02
-1.1824E-03,-6.217E-02
-1.1820E-03,-2.217E-02
-1.1816E-03,-2.217E-02
-1.1812E-03,-2.217E-02
-1.1808E-03,-2.217E-02
-1.1804E-03,-2.217E-02
-1.1800E-03,-2.217E-02
-1.1796E-03,-6.217E-02
-1.1792E-03,-2.217E-02
-1.1788E-03,-2.217E-02
-1.1784E-03,-2.217E-02
-1.1780E-03,-2.217E-02
-1.1776E-03,-2.217E-02
-1.1772E-03,-6.217E-02
-1.1768E-03,-2.217E-02
-1.1764E-03,-2.217E-02
-1.1760E-03,-2.217E-02
-1.1756E-03,-2.217E-02
-1.1752E-03,-2.217E-02
-1.1748E-03,-2.217E-02
-1.1744E-03,-2.217E-02
-1.1740E-03,-2.217E-02
-1.1736E-03,-2.217E-02
-1.1732E-03,-2.217E-02
-1.1728E-03,-2.217E-02
-1.1724E-03,-2.217E-02
-1.1720E-03,-2.217E-02
-1.1716E-03,-2.217E-02
-1.1712E-03,-2.217E-02
-1.1708E-03,-2.217E-02
-1.1704E-03,-2.217E-02
-1.1700E-03,-2.217E-02
-1.1696E-03,-6.217E-02
-1.1692E-03,-2.217E-02
-1.1688E-03,-2.217E-02
-1.1684E-03,-6.217E-02
-1.1680E-03,-2.217E-02
-1.1676E-03,-2.217E-02
-1.1672E-03,-2.217E-02
-1.1668E-03,-2.217E-02
-1.1664E-03,-2.217E-02
-1.1660E-03,-2.217E-02
-1.1656E-03,-2.217E-02
-1.1652E-03,-2.217E-02
-1.1648E-03,-2.217E-02
-1.1644E-03,-2.217E-02
-1.1640E-03,-2.217E-02
-1.1636E-03,-2.217E-02
-1.1632E-03,-2.217E-02
-1.1628E-03,-6.217E-02
-1.1624E-03,-2.217E-02
-1.1620E-03,-6.217E-02
-1.1616E-03,-2.217E-02
-1.1612E-03,-2.217E-02
-1.1608E-03,-2.217E-02
-1.1604E-03,-2.217E-02
-1.1600E-03,-2.217E-02
-1.1596E-03,-2.217E-02
-1.1592E-03,-2.217E-02
-1.1588E-03,-2.217E-02
-1.1584E-03,-2.217E-02
-1.1580E-03,-2.217E-02
-1.1576E-03,-2.217E-02
-1.1572E-03,-2.217E-02
-1.1568E-03,-2.217E-02
-1.1564E-03,-2.217E-02
-1.1560E-03,-2.217E-02
-1.1556E-03,-2.217E-02
-1.1552E-03,-6.217E-02
-1.1548E-03,-2.217E-02
-1.1544E-03,-2.217E-02
-1.1540E-03,-2.217E-02
-1.1536E-03,-2.217E-02
-1.1532E-03,-2.217E-02
-1.1528E-03,-6.217E-02
-1.1524E-03,-2.217E-02
-1.1520E-03,-2.217E-02
-1.1516E-03,-2.217E-02
-1.1512E-03,-2.217E-02
-1.1508E-03,-2.217E-02
-1.1504E-03,-2.217E-02
-1.1500E-03,-2.217E-02
-1.1496E-03,-2.217E-02
-1.1492E-03,-2.217E-02
-1.1488E-03,-2.217E-02
-1.1484E-03,-2.217E-02
-1.1480E-03,-2.217E-02
-1.1476E-03,-2.217E-02
-1.1472E-03,-2.217E-02
-1.1468E-03,-6.217E-02
-1.1464E-03,-2.217E-02
-1.1460E-03,-2.217E-02
-1.1456E-03,-2.217E-02
-1.1452E-03,-6.217E-02
-1.1448E-03,-2.217E-02
-1.1444E-03,-2.217E-02
-1.1440E-03,-2.217E-02
-1.1436E-03,-2.217E-02
-1.1432E-03,-2.217E-02
-1.1428E-03,-2.217E-02
-1.1424E-03,-2.217E-02
-1.1420E-03,-6.217E-02
-1.1416E-03,-2.217E-02
