[s],CH1[V]
-5.6020E-06,4.969E+00
-5.6000E-06,4.969E+00
-5.5980E-06,4.969E+00
-5.5960E-06,4.969E+00
-5.5940E-06,4.969E+00
-5.5920E-06,4.969E+00
-5.5900E-06,4.969E+00
-5.5880E-06,4.969E+00
-5.5860E-06,4.969E+00
-5.5840E-06,4.969E+00
-5.5820E-06,4.969E+00
-5.5800E-06,4.969E+00
-5.5780E-06,4.969E+00
-5.5760E-06,4.969E+00
-5.5740E-06,4.969E+00
-5.5720E-06,4.969E+00
-5.5700E-06,4.969E+00
-5.5680E-06,4.969E+00
-5.5660E-06,4.969E+00
-5.5640E-06,4.969E+00
-5.5620E-06,4.969E+00
-5.5600E-06,4.969E+00
-5.5580E-06,4.969E+00
-5.5560E-06,4.969E+00
-5.5540E-06,4.969E+00
-5.5520E-06,4.969E+00
-5.5500E-06,4.969E+00
-5.5480E-06,4.969E+00
-5.5460E-06,4.969E+00
-5.5440E-06,4.969E+00
-5.5420E-06,4.969E+00
-5.5400E-06,4.969E+00
-5.5380E-06,4.969E+00
-5.5360E-06,4.969E+00
-5.5340E-06,4.969E+00
-5.5320E-06,4.929E+00
-5.5300E-06,4.969E+00
-5.5280E-06,4.929E+00
-5.5260E-06,4.969E+00
-5.5240E-06,4.929E+00
-5.5220E-06,4.969E+00
-5.5200E-06,4.969E+00
-5.5180E-06,4.969E+00
-5.5160E-06,4.969E+00
-5.5140E-06,4.969E+00
-5.5120E-06,4.969E+00
-5.5100E-06,4.969E+00
-5.5080E-06,4.929E+00
-5.5060E-06,4.969E+00
-5.5040E-06,4.969E+00
-5.5020E-06,4.969E+00
-5.5000E-06,4.929E+00
-5.4980E-06,4.969E+00
-5.4960E-06,4.969E+00
-5.4940E-06,4.969E+00
-5.4920E-06,4.969E+00
-5.4900E-06,4.969E+00
-5.4880E-06,4.969E+00
-5.4860E-06,4.969E+00
-5.4840E-06,4.929E+00
-5.4820E-06,4.969E+00
-5.4800E-06,4.969E+00
-5.4780E-06,4.969E+00
-5.4760E-06,4.969E+00
-5.4740E-06,4.969E+00
-5.4720E-06,4.969E+00
-5.4700E-06,4.969E+00
-5.4680E-06,4.969E+00
-5.4660E-06,4.969E+00
-5.4640E-06,4.929E+00
-5.4620E-06,4.969E+00
-5.4600E-06,4.929E+00
-5.4580E-06,4.969E+00
-5.4560E-06,4.929E+00
-5.4540E-06,4.969E+00
-5.4520E-06,4.969E+00
-5.4500E-06,4.969E+00
-5.4480E-06,4.969E+00
-5.4460E-06,4.969E+00
-5.4440E-06,4.969E+00
-5.4420E-06,4.969E+00
-5.4400E-06,4.929E+00
-5.4380E-06,4.969E+00
-5.4360E-06,4.969E+00
-5.4340E-06,4.969E+00
-5.4320E-06,4.969E+00
-5.4300E-06,4.969E+00
-5.4280E-06,4.969E+00
-5.4260E-06,4.969E+00
-5.4240E-06,4.969E+00
-5.4220E-06,4.969E+00
-5.4200E-06,4.929E+00
-5.4180E-06,4.969E+00
-5.4160E-06,4.969E+00
-5.4140E-06,4.969E+00
-5.4120E-06,4.929E+00
-5.4100E-06,4.969E+00
-5.4080E-06,4.929E+00
-5.4060E-06,4.969E+00
-5.4040E-06,4.969E+00
-5.4020E-06,4.969E+00
-5.4000E-06,4.929E+00
-5.3980E-06,4.969E+00
-5.3960E-06,4.969E+00
-5.3940E-06,4.969E+00
-5.3920E-06,4.969E+00
-5.3900E-06,4.969E+00
-5.3880E-06,4.969E+00
-5.3860E-06,4.969E+00
-5.3840E-06,4.929E+00
-5.3820E-06,4.969E+00
-5.3800E-06,4.969E+00
-5.3780E-06,4.969E+00
-5.3760E-06,4.969E+00
-5.3740E-06,4.969E+00
-5.3720E-06,4.969E+00
-5.3700E-06,4.969E+00
-5.3680E-06,4.969E+00
-5.3660E-06,4.969E+00
-5.3640E-06,4.969E+00
-5.3620E-06,4.969E+00
-5.3600E-06,4.969E+00
-5.3580E-06,4.969E+00
-5.3560E-06,4.969E+00
-5.3540E-06,4.969E+00
-5.3520E-06,4.969E+00
-5.3500E-06,4.969E+00
-5.3480E-06,4.969E+00
-5.3460E-06,4.969E+00
-5.3440E-06,4.969E+00
-5.3420E-06,4.969E+00
-5.3400E-06,4.969E+00
-5.3380E-06,4.969E+00
-5.3360E-06,4.969E+00
-5.3340E-06,4.969E+00
-5.3320E-06,4.929E+00
-5.3300E-06,4.969E+00
-5.3280E-06,4.969E+00
-5.3260E-06,4.969E+00
-5.3240E-06,4.969E+00
-5.3220E-06,4.969E+00
-5.3200E-06,4.969E+00
-5.3180E-06,4.969E+00
-5.3160E-06,4.969E+00
-5.3140E-06,4.969E+00
-5.3120E-06,4.929E+00
-5.3100E-06,4.969E+00
-5.3080E-06,4.969E+00
-5.3060E-06,4.969E+00
-5.3040E-06,4.969E+00
-5.3020E-06,4.969E+00
-5.3000E-06,4.969E+00
-5.2980E-06,4.969E+00
-5.2960E-06,4.969E+00
-5.2940E-06,4.969E+00
-5.2920E-06,4.969E+00
-5.2900E-06,4.969E+00
-5.2880E-06,4.969E+00
-5.2860E-06,4.969E+00
-5.2840E-06,4.969E+00
-5.2820E-06,4.969E+00
-5.2800E-06,4.969E+00
-5.2780E-06,4.969E+00
-5.2760E-06,4.969E+00
